lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-0.59,0.54,9.3,194.0,147.25,40.3125,0.072,0.9208,0.0837,-0.3741
0.5,0.71,10.54,179.125,139.375,50.5,0.0587,0.9265,0.075,-0.3642
2.04,0.96,12.79,162.875,129.0,61.5,0.047,0.9315,0.0658,-0.3548
2.38,1.24,14.21,145.0,119.125,69.75,0.037,0.9359,0.0564,-0.3459
3.3,1.42,15.7,123.6875,113.6875,74.875,0.0289,0.9398,0.0472,-0.3372
5.03,1.49,16.67,102.125,112.3125,77.875,0.0225,0.9435,0.0384,-0.3285
4.21,1.99,16.68,87.125,111.375,68.0625,0.0172,0.9468,0.0308,-0.3197
2.74,2.4,16.82,75.5,101.375,45.5,0.012,0.9498,0.0253,-0.3117
1.6,2.13,16.99,56.625,88.875,36.625,0.0083,0.9522,0.0209,-0.3046
2.14,0.95,17.28,30.0,83.25,44.75,0.0069,0.9544,0.0166,-0.298
2.97,0.58,17.52,1.9375,80.25,50.75,0.0079,0.9565,0.0125,-0.2914
3.54,0.37,17.92,-26.125,66.0,50.5,0.0112,0.9581,0.0091,-0.2861
3.76,0.23,18.26,-51.8125,39.0,48.1875,0.0165,0.959,0.0065,-0.2828
3.27,-0.05,17.82,-72.125,10.5625,46.375,0.0234,0.9592,0.0045,-0.2819
2.68,-0.27,17.13,-90.1875,-9.8125,43.375,0.0318,0.9587,0.0031,-0.2825
2.34,-0.51,16.42,-109.75,-19.0,41.875,0.0417,0.9579,0.0023,-0.2839
3.09,-0.92,15.55,-131.3125,-20.125,44.75,0.0534,0.957,0.0017,-0.2853
3.28,-1.16,15.02,-152.1875,-18.1875,47.5,0.0668,0.9557,0.0015,-0.2866
2.97,-1.21,14.6,-170.625,-20.625,43.9375,0.0817,0.9542,0.0019,-0.2879
1.95,-1.41,13.81,-187.6875,-28.75,39.4375,0.0977,0.952,0.0031,-0.2899
-1.61,-1.0,11.15,-204.125,-41.5,35.375,0.115,0.9492,0.0049,-0.2928
-3.38,-0.46,9.82,-218.875,-61.0625,32.5,0.1334,0.9454,0.0071,-0.2972
-5.01,-0.21,8.2,-229.6875,-84.8125,33.625,0.1526,0.9405,0.0092,-0.3035
-9.01,-0.46,3.66,-234.75,-103.375,26.4375,0.1719,0.9346,0.0118,-0.3111
-11.1,-0.54,1.03,-236.625,-109.625,3.1875,0.1908,0.9281,0.0162,-0.3193
-13.91,-0.4,-1.89,-237.625,-107.3125,-28.625,0.2087,0.9211,0.0231,-0.3278
-17.89,0.0,-5.14,-235.3125,-96.8125,-68.3125,0.2253,0.9139,0.0332,-0.3361
-24.59,0.61,-12.42,-226.375,-84.5,-113.625,0.2397,0.9067,0.0468,-0.344
-24.47,0.3,-15.21,-209.9375,-76.125,-148.0,0.2517,0.8994,0.0627,-0.3519
-23.39,0.54,-17.03,-186.625,-65.9375,-168.1875,0.2612,0.8923,0.0796,-0.3594
-21.77,1.84,-18.86,-152.75,-49.0,-193.9375,0.2671,0.886,0.0977,-0.3663
-19.15,1.62,-19.33,-111.5,-23.875,-229.5625,0.2685,0.8806,0.1178,-0.3723
-15.77,1.21,-19.42,-72.0625,-1.6875,-259.8125,0.2656,0.8761,0.1393,-0.3774
-13.35,1.35,-19.21,-34.75,4.6875,-281.3125,0.2591,0.8719,0.1613,-0.3829
-10.08,2.29,-17.93,-2.6875,-0.375,-295.3125,0.2496,0.8676,0.1831,-0.3892
-9.27,2.9,-17.15,21.3125,-0.875,-304.875,0.238,0.863,0.2047,-0.3959
-8.89,4.41,-15.6,32.5,9.3125,-315.25,0.2249,0.8582,0.2266,-0.402
-8.22,5.68,-14.02,29.4375,31.0625,-322.0,0.2111,0.8533,0.2495,-0.4062
-6.57,6.36,-10.41,26.25,65.4375,-327.0,0.1965,0.8488,0.2732,-0.4077
-5.51,6.93,-7.93,25.1875,105.1875,-326.875,0.181,0.845,0.2974,-0.406
-4.41,7.6,-5.56,24.0,135.875,-320.5,0.1648,0.8416,0.3214,-0.4017
-1.95,8.38,-2.16,28.3125,149.0625,-311.125,0.1481,0.8382,0.3445,-0.396
-0.79,9.05,-0.47,35.75,143.5,-300.25,0.1313,0.8344,0.3662,-0.3905
0.08,9.5,1.24,40.25,131.25,-284.125,0.115,0.8301,0.3862,-0.3855
1.04,9.7,2.62,41.375,120.75,-265.1875,0.0995,0.8255,0.4045,-0.3808
3.72,8.83,5.53,39.8125,114.0,-242.6875,0.085,0.821,0.421,-0.3762
5.23,9.11,6.46,37.5,111.9375,-219.4375,0.0714,0.8168,0.4357,-0.3712
6.95,9.1,7.32,35.25,106.0625,-192.0,0.059,0.8132,0.4484,-0.3663
8.56,8.4,9.14,34.125,98.125,-162.75,0.0479,0.8101,0.459,-0.3616
8.81,8.3,10.25,33.0,85.3125,-139.5625,0.0381,0.8074,0.4678,-0.3576
9.15,8.14,11.44,29.4375,70.4375,-113.75,0.0298,0.8051,0.4749,-0.3543
9.89,7.75,12.4,22.0,56.375,-77.8125,0.0237,0.8036,0.4796,-0.3516
11.93,7.25,13.49,13.0,37.75,-40.1875,0.0201,0.8031,0.4821,-0.3496
12.18,7.55,13.57,6.25,4.6875,-10.8125,0.0192,0.8029,0.4826,-0.3495
11.62,8.08,13.14,3.0,-37.625,8.0,0.0208,0.8021,0.4819,-0.3522
10.27,8.5,12.33,0.75,-70.875,22.625,0.0243,0.8008,0.4802,-0.357
8.14,8.64,10.75,-3.3125,-78.5,37.5625,0.0288,0.8,0.4776,-0.3621
8.06,8.59,10.43,-12.375,-62.1875,55.75,0.0339,0.8003,0.4741,-0.3656
8.48,8.61,10.5,-26.0,-39.9375,78.8125,0.0397,0.8021,0.4694,-0.3671
8.44,9.02,10.68,-40.0,-28.75,100.625,0.0466,0.8051,0.4637,-0.3671
8.14,9.07,10.45,-49.5625,-32.25,115.25,0.0549,0.8083,0.4573,-0.3668
7.7,8.83,9.89,-55.5,-43.375,127.875,0.0643,0.8116,0.45,-0.367
7.56,8.58,9.38,-61.125,-56.625,142.75,0.0751,0.8148,0.4418,-0.3678
7.5,8.4,8.91,-68.75,-69.8125,161.25,0.0874,0.8181,0.4323,-0.369
7.28,8.29,8.3,-77.125,-83.4375,183.125,0.1014,0.8215,0.4214,-0.3705
6.97,8.47,7.32,-83.6875,-95.0625,203.375,0.117,0.8249,0.409,-0.3723
5.57,9.56,5.08,-85.8125,-102.5,221.3125,0.1334,0.8282,0.3951,-0.3742
4.48,9.96,4.11,-85.0625,-109.1875,240.4375,0.1506,0.8317,0.3797,-0.3762
3.17,10.09,2.86,-82.8125,-117.125,259.3125,0.1683,0.835,0.3625,-0.3784
1.13,9.97,1.17,-77.0625,-123.5625,271.5625,0.1862,0.838,0.3439,-0.3807
-3.06,9.18,-3.13,-68.0,-130.25,272.625,0.2035,0.8403,0.3246,-0.3835
-5.87,8.41,-6.38,-60.25,-141.6875,275.8125,0.2205,0.8419,0.3045,-0.3871
-9.89,8.49,-9.67,-52.9375,-159.1875,278.375,0.2374,0.8426,0.2833,-0.3917
-19.68,9.21,-14.37,-41.5,-175.625,274.125,0.2535,0.8422,0.2616,-0.3975
