lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
0.58,5.98,3.76,88.25,-54.25,-99.5625,-0.5535,0.597,-0.4235,0.3973
0.37,5.9,3.56,80.6875,-52.9375,-85.5625,-0.5568,0.598,-0.4147,0.4005
0.14,5.76,3.38,74.25,-56.9375,-72.625,-0.5604,0.5991,-0.4062,0.4025
0.34,5.28,3.99,67.1875,-64.4375,-61.1875,-0.5644,0.6005,-0.3982,0.403
0.49,5.02,4.16,60.4375,-76.0,-47.8125,-0.5644,0.6005,-0.3982,0.403
0.81,4.88,3.99,54.5625,-89.25,-33.5625,-0.569,0.602,-0.3903,0.4019
0.68,4.89,3.91,48.1875,-100.625,-20.1875,-0.5793,0.6055,-0.3759,0.3956
0.43,4.88,4.17,41.625,-105.5,-8.0625,-0.5844,0.6071,-0.3699,0.3914
0.48,4.67,4.42,34.8125,-101.75,3.375,-0.5893,0.6084,-0.3649,0.3865
1.07,4.34,4.39,27.5,-96.125,14.25,-0.5893,0.6084,-0.3649,0.3865
0.98,4.29,4.66,20.75,-100.75,27.625,-0.5943,0.6098,-0.3607,0.3806
0.81,4.16,5.17,14.3125,-116.5625,42.625,-0.6062,0.6136,-0.3522,0.3632
0.81,3.98,5.12,8.8125,-136.5,55.75,-0.6132,0.6161,-0.3475,0.3516
1.01,3.55,4.61,4.625,-157.375,69.5,-0.6208,0.6188,-0.3427,0.3381
0.74,3.37,4.34,-0.1875,-176.625,83.625,-0.6208,0.6188,-0.3427,0.3381
0.21,3.24,3.98,-3.375,-186.9375,95.6875,-0.6287,0.6214,-0.338,0.3231
0.44,2.9,3.63,-6.125,-183.9375,103.625,-0.6436,0.6259,-0.3297,0.2921
-0.03,2.65,4.09,-9.875,-182.875,106.8125,-0.6512,0.6284,-0.3248,0.2748
-1.19,2.37,4.4,-13.625,-203.5625,110.9375,-0.6595,0.6312,-0.3182,0.2556
-1.96,1.62,4.9,-12.0625,-234.4375,115.375,-0.6595,0.6312,-0.3182,0.2556
-2.44,-0.51,5.43,-11.1875,-258.1875,116.25,-0.6682,0.6341,-0.3102,0.235
-2.93,-0.81,6.05,-18.3125,-277.375,117.5,-0.6843,0.6409,-0.2915,0.1897
-3.91,-0.79,6.53,-27.875,-288.9375,120.75,-0.6908,0.6447,-0.282,0.1664
-5.79,-0.28,6.46,-40.9375,-284.375,119.25,-0.6956,0.6492,-0.2729,0.1427
-6.68,0.18,6.82,-61.75,-280.4375,117.9375,-0.6956,0.6492,-0.2729,0.1427
-6.33,0.46,7.17,-81.5625,-287.0,120.5625,-0.6989,0.6544,-0.2635,0.1179
-4.54,0.28,6.38,-98.8125,-291.125,123.0,-0.701,0.6666,-0.2448,0.0662
-3.36,1.09,5.44,-120.4375,-289.25,125.25,-0.6992,0.6736,-0.2365,0.0399
-4.25,1.99,4.2,-142.6875,-276.5,130.5,-0.6951,0.6815,-0.2286,0.0137
-6.65,4.01,3.79,-167.625,-266.25,129.8125,-0.6951,0.6815,-0.2286,0.0137
-5.77,7.16,4.04,-191.1875,-264.5625,125.3125,-0.689,0.6903,-0.2203,-0.0125
-4.48,6.84,4.78,-207.0,-256.125,129.625,-0.6717,0.7089,-0.205,-0.0658
-3.88,5.7,4.22,-227.5625,-257.0625,134.0,-0.6603,0.7189,-0.1963,-0.0931
-0.41,2.82,3.61,-249.125,-263.1875,129.0625,-0.6444,0.7305,-0.196,-0.1122
-21.32,37.4,-32.56,-270.0625,-114.5625,137.375,-0.6444,0.7305,-0.196,-0.1122
-35.27,22.17,-2.35,-114.5,-283.25,-140.1875,-0.6431,0.7361,-0.1708,-0.1239
31.02,14.52,17.26,161.5,-142.1875,-58.125,-0.6672,0.7147,-0.1687,-0.125
30.8,11.9,32.45,206.4375,38.0,53.5,-0.6944,0.6863,-0.183,-0.1156
10.16,-5.24,-16.32,495.3125,96.3125,62.6875,-0.7155,0.6641,-0.1801,-0.1204
4.27,-15.99,-16.46,339.125,-138.5625,34.875,-0.7155,0.6641,-0.1801,-0.1204
5.7,-13.47,0.93,170.375,-184.5625,139.75,-0.7263,0.6497,-0.1785,-0.1365
4.66,-2.31,3.05,42.125,-86.25,189.8125,-0.7247,0.6423,-0.1852,-0.1672
8.6,11.84,4.4,-45.125,-98.9375,144.1875,-0.7225,0.6422,-0.1823,-0.1799
3.34,16.01,14.0,-49.5625,-117.4375,92.25,-0.7252,0.6348,-0.1793,-0.1974
1.66,5.28,12.11,38.625,-179.875,136.6875,-0.7252,0.6348,-0.1793,-0.1974
1.34,-2.09,12.85,41.75,-215.6875,183.8125,-0.7274,0.6257,-0.1766,-0.2195
1.76,-1.71,11.99,-11.25,-174.1875,193.8125,-0.7221,0.6167,-0.1752,-0.2599
7.88,4.17,6.39,-37.9375,-148.5,176.5,-0.7195,0.6113,-0.1741,-0.2798
8.48,3.09,4.06,-17.375,-166.3125,181.25,-0.7194,0.6039,-0.1704,-0.298
6.08,2.82,4.14,12.1875,-187.625,144.0625,-0.7194,0.6039,-0.1704,-0.298
7.9,1.15,-0.03,50.0,-203.375,121.625,-0.7216,0.5939,-0.1655,-0.315
8.19,-2.68,-1.42,97.5625,-221.375,111.5,-0.7324,0.5656,-0.1513,-0.3477
