lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-0.12,0.27,0.01,-0.0625,-0.25,-0.5625,0.1415,-0.4203,0.5903,-0.6744
-0.11,0.27,0.01,-0.0625,-0.5625,-0.5625,0.1415,-0.4203,0.5903,-0.6744
-0.13,0.3,0.0,0.0,-0.875,-0.5625,0.1416,-0.4204,0.5903,-0.6744
-0.16,0.28,0.0,0.0625,-0.9375,-0.5625,0.1417,-0.4205,0.5903,-0.6743
-0.18,0.29,0.0,0.1875,-1.125,-0.625,0.1417,-0.4206,0.5902,-0.6743
-0.16,0.31,0.0,0.25,-1.3125,-0.375,0.1417,-0.4207,0.5902,-0.6743
-0.19,0.29,0.0,0.25,-1.1875,0.1875,0.1418,-0.4207,0.5902,-0.6742
-0.16,0.27,0.0,0.3125,-0.9375,0.5,0.1418,-0.4208,0.5902,-0.6742
-0.2,0.27,0.0,0.3125,-0.375,0.5625,0.1418,-0.4208,0.5902,-0.6741
-0.13,0.28,0.02,-0.125,0.0625,0.8125,0.1419,-0.4207,0.5902,-0.6741
-0.11,0.31,0.03,-0.3125,0.25,1.125,0.142,-0.4207,0.5903,-0.6741
-0.09,0.3,0.03,-0.625,0.1875,1.125,0.142,-0.4206,0.5903,-0.6741
-0.06,0.29,0.0,-0.5,-0.125,1.0625,0.142,-0.4206,0.5904,-0.6741
-0.06,0.28,-0.04,-0.5,-0.5,0.9375,0.1421,-0.4205,0.5905,-0.6741
-0.06,0.31,-0.04,-0.3125,-0.75,0.875,0.1422,-0.4205,0.5905,-0.674
-0.04,0.31,-0.01,-0.1875,-0.875,0.3125,0.1422,-0.4206,0.5905,-0.674
-0.05,0.33,0.01,-0.125,-1.125,0.1875,0.1423,-0.4207,0.5904,-0.674
-0.09,0.31,-0.04,-0.1875,-1.5,0.1875,0.1423,-0.4208,0.5904,-0.6739
-0.09,0.31,-0.05,-0.125,-1.375,0.0625,0.1424,-0.4208,0.5904,-0.6738
-0.1,0.29,-0.05,-0.125,-1.125,0.0,0.1425,-0.4209,0.5904,-0.6738
-0.11,0.28,-0.03,-0.1875,-0.875,0.0625,0.1425,-0.421,0.5904,-0.6738
-0.1,0.27,-0.01,-0.1875,-0.4375,-0.1875,0.1425,-0.421,0.5904,-0.6738
-0.08,0.25,-0.03,-0.125,-0.3125,-0.0625,0.1425,-0.421,0.5904,-0.6738
-0.08,0.29,0.0,-0.3125,-0.4375,-0.0625,0.1425,-0.421,0.5904,-0.6738
-0.11,0.26,0.01,-0.3125,-0.75,0.0,0.1425,-0.421,0.5903,-0.6737
-0.1,0.3,0.0,-0.375,-0.8125,0.0,0.1426,-0.4211,0.5903,-0.6737
-0.1,0.32,0.0,-0.3125,-1.1875,0.125,0.1426,-0.4211,0.5903,-0.6736
-0.09,0.31,-0.04,-0.3125,-1.3125,0.0625,0.1427,-0.4212,0.5903,-0.6736
-0.14,0.33,-0.04,-0.3125,-1.5,0.0625,0.1428,-0.4213,0.5903,-0.6736
-0.14,0.33,-0.03,0.0625,-1.5,0.0,0.1428,-0.4214,0.5903,-0.6735
-0.15,0.31,-0.02,0.125,-1.25,-0.125,0.1429,-0.4214,0.5903,-0.6735
-0.14,0.3,0.0,0.0,-0.8125,-0.0625,0.1429,-0.4215,0.5903,-0.6734
-0.12,0.29,0.0,0.0,-0.4375,-0.1875,0.1429,-0.4215,0.5903,-0.6734
-0.14,0.34,0.0,-0.1875,-0.4375,0.0,0.1429,-0.4215,0.5903,-0.6734
-0.13,0.35,0.01,-0.125,-0.5,-0.1875,0.1429,-0.4215,0.5903,-0.6734
-0.15,0.34,0.0,-0.125,-0.5625,0.25,0.1429,-0.4215,0.5903,-0.6734
-0.13,0.32,0.02,-0.125,-0.625,0.25,0.143,-0.4215,0.5903,-0.6734
-0.14,0.33,0.01,0.0,-0.6875,0.25,0.143,-0.4216,0.5903,-0.6734
-0.17,0.32,-0.02,0.0,-1.1875,0.4375,0.1431,-0.4216,0.5902,-0.6733
-0.18,0.31,0.01,0.0,-1.1875,0.5625,0.1431,-0.4217,0.5902,-0.6733
-0.16,0.29,0.0,0.0,-1.125,0.6875,0.1432,-0.4218,0.5902,-0.6732
-0.16,0.3,0.03,0.0625,-0.625,0.9375,0.1433,-0.4218,0.5903,-0.6732
-0.14,0.32,0.0,-0.25,-0.5,1.1875,0.1434,-0.4217,0.5903,-0.6732
-0.12,0.3,0.04,-0.125,-0.125,1.1875,0.1434,-0.4216,0.5903,-0.6732
-0.13,0.26,0.03,-0.0625,0.125,1.25,0.1435,-0.4216,0.5904,-0.6732
-0.08,0.24,0.04,-0.1875,0.1875,1.3125,0.1436,-0.4215,0.5905,-0.6732
-0.07,0.28,0.04,-0.4375,0.375,1.3125,0.1437,-0.4214,0.5905,-0.6732
-0.07,0.34,0.0,-0.6875,-0.0625,1.375,0.1437,-0.4213,0.5906,-0.6731
-0.07,0.33,0.0,-0.375,-0.375,1.4375,0.1438,-0.4213,0.5906,-0.673
-0.07,0.35,-0.04,-0.125,-0.3125,1.3125,0.1439,-0.4212,0.5907,-0.673
-0.01,0.37,0.01,0.125,-0.125,1.0,0.1439,-0.4211,0.5907,-0.673
-0.04,0.37,0.0,0.4375,-0.125,0.5625,0.1439,-0.4211,0.5907,-0.673
-0.08,0.32,0.02,1.0,-0.3125,0.25,0.144,-0.4211,0.5906,-0.6731
-0.02,0.25,0.0,0.9375,-0.25,0.1875,0.144,-0.4211,0.5906,-0.6732
0.0,0.22,0.01,0.6875,-0.3125,0.0,0.144,-0.4211,0.5906,-0.6732
0.0,0.24,0.0,0.6875,-0.6875,0.0,0.1441,-0.4211,0.5905,-0.6732
0.01,0.24,-0.01,0.4375,-1.0,0.0625,0.1442,-0.4212,0.5905,-0.6732
0.01,0.31,-0.08,0.1875,-1.1875,-0.0625,0.1442,-0.4213,0.5905,-0.6731
0.08,0.33,-0.1,0.3125,-1.1875,-0.0625,0.1443,-0.4214,0.5905,-0.673
0.17,0.31,0.0,0.625,-0.75,-0.25,0.1443,-0.4214,0.5904,-0.673
0.48,0.31,-0.01,0.4375,-0.8125,-0.5625,0.1443,-0.4214,0.5904,-0.673
0.72,0.28,0.02,0.3125,-1.8125,-1.1875,0.1444,-0.4216,0.5903,-0.673
0.88,0.24,-0.08,0.625,-3.125,-2.6875,0.1444,-0.4219,0.5901,-0.6729
1.4,0.06,-0.29,0.875,-3.0625,-5.5625,0.1443,-0.4224,0.5899,-0.6729
1.91,-0.09,-0.41,1.625,-0.4375,-9.1875,0.1438,-0.4228,0.5895,-0.6731
2.46,-0.32,-0.38,3.0625,5.0,-15.0625,0.1428,-0.4232,0.5888,-0.6736
2.74,-0.52,-0.2,3.875,16.0,-23.4375,0.1408,-0.4234,0.588,-0.6747
