lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-0.66,8.47,-7.26,233.375,22.125,70.125,0.3297,0.8218,-0.3948,-0.2451
-1.0,8.7,-6.49,245.1875,7.375,64.5625,0.3129,0.8267,-0.4042,-0.2353
-1.26,8.91,-5.9,256.625,-6.1875,58.875,0.2946,0.8313,-0.4136,-0.226
-1.28,8.84,-4.55,267.0,-19.125,52.75,0.2747,0.8354,-0.4232,-0.218
-1.72,8.98,-3.94,275.125,-40.625,48.25,0.2747,0.8354,-0.4232,-0.218
-2.69,9.16,-3.28,282.3125,-62.3125,43.875,0.2532,0.839,-0.4328,-0.2112
-3.57,9.3,-2.89,288.125,-64.1875,34.875,0.2089,0.8463,-0.4491,-0.1964
-4.46,8.92,-2.21,291.0625,-45.9375,23.6875,0.1876,0.8501,-0.4553,-0.1865
-4.37,8.75,-1.98,290.0625,-21.0,16.625,0.1674,0.8539,-0.4606,-0.1747
-4.19,8.71,-1.61,287.0625,5.8125,14.0,0.1674,0.8539,-0.4606,-0.1747
-3.37,8.55,0.09,281.9375,28.25,11.3125,0.1483,0.8577,-0.4651,-0.1616
-2.97,8.7,0.73,277.0,41.0625,11.125,0.1119,0.8639,-0.4727,-0.1331
-2.43,8.73,1.33,274.3125,45.8125,11.8125,0.0939,0.8663,-0.476,-0.119
-2.02,8.71,1.93,271.8125,43.875,10.5625,0.0759,0.8682,-0.4789,-0.1052
-1.68,8.0,2.56,268.875,38.9375,9.3125,0.0759,0.8682,-0.4789,-0.1052
-1.8,7.85,2.75,266.0625,34.3125,7.25,0.0578,0.8698,-0.4814,-0.0918
-2.18,7.88,2.88,262.0625,32.1875,3.9375,0.0224,0.8717,-0.485,-0.0656
-2.43,7.48,3.81,257.6875,35.6875,0.9375,0.0054,0.8722,-0.4863,-0.0524
-2.3,7.55,4.39,252.4375,39.0625,0.25,-0.0112,0.8723,-0.4873,-0.0394
-2.2,7.7,5.03,247.0625,38.75,1.0625,-0.0112,0.8723,-0.4873,-0.0394
-1.86,7.71,5.6,242.0625,35.3125,1.0,-0.0276,0.8719,-0.4881,-0.0268
-0.88,6.96,6.41,238.625,29.125,0.125,-0.0604,0.8702,-0.4889,-0.0036
-0.62,6.56,6.82,234.875,20.375,0.3125,-0.0768,0.8688,-0.4891,0.0065
-0.54,6.25,7.19,229.1875,9.1875,1.875,-0.0932,0.8671,-0.4891,0.0155
-0.69,5.8,7.74,221.9375,-2.5,3.0625,-0.0932,0.8671,-0.4891,0.0155
-0.67,5.83,7.92,213.9375,-10.75,2.375,-0.1093,0.8652,-0.4888,0.0236
-0.56,5.84,8.13,205.6875,-20.25,1.25,-0.1409,0.861,-0.4873,0.0363
-0.62,5.76,8.31,197.5,-31.9375,0.5,-0.1563,0.8588,-0.4861,0.0411
-0.3,5.25,9.28,189.0625,-41.8125,-0.6875,-0.1714,0.8566,-0.4846,0.0449
-0.17,4.92,9.8,180.0,-50.3125,-2.75,-0.1714,0.8566,-0.4846,0.0449
-0.18,4.61,10.26,171.625,-57.0625,-6.5,-0.1861,0.8546,-0.4825,0.0479
-0.16,4.31,10.62,160.125,-60.25,-10.875,-0.2128,0.8509,-0.4775,0.0521
-0.17,3.7,10.94,145.5625,-58.625,-13.1875,-0.2242,0.8493,-0.4749,0.0538
-0.27,3.73,10.76,129.75,-52.8125,-15.625,-0.234,0.8481,-0.4721,0.0555
-0.36,3.85,10.77,113.1875,-43.875,-18.5625,-0.234,0.8481,-0.4721,0.0555
-0.08,3.89,11.35,96.1875,-33.9375,-22.3125,-0.2421,0.8472,-0.4694,0.0574
0.09,3.85,11.72,79.75,-25.8125,-25.125,-0.254,0.8466,-0.4639,0.0609
0.34,3.67,12.15,64.0625,-20.1875,-28.625,-0.2579,0.8469,-0.4609,0.0623
