lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-2.79,1.65,-1.03,48.5,9.875,-168.1875,0.5496,0.7324,0.132,-0.3796
-2.58,1.65,-0.79,50.125,8.375,-171.875,0.5408,0.733,0.1414,-0.3876
-2.61,1.7,-0.58,51.875,6.3125,-176.9375,0.5317,0.7334,0.1509,-0.3958
-2.69,1.35,-0.3,53.125,5.25,-180.75,0.5222,0.7335,0.1606,-0.4042
-2.76,1.29,-0.08,53.125,5.25,-180.75,0.5125,0.7335,0.1705,-0.4125
-2.46,1.3,0.07,54.6875,6.4375,-183.375,0.5025,0.7335,0.1805,-0.4206
-1.93,1.4,0.11,54.5625,13.125,-184.625,0.4923,0.7333,0.1905,-0.4284
-1.51,1.23,0.19,55.625,13.5,-185.6875,0.4819,0.7331,0.2005,-0.4361
-1.3,1.34,0.18,56.375,12.75,-186.25,0.4712,0.7326,0.2104,-0.4438
-1.21,1.39,0.25,56.375,12.75,-186.25,0.4604,0.7319,0.2203,-0.4515
-0.93,1.24,0.48,57.375,10.875,-187.0,0.4495,0.7308,0.23,-0.4592
-0.49,1.22,0.6,56.0,10.3125,-185.3125,0.4386,0.7297,0.2396,-0.4667
0.0,1.13,0.61,54.6875,11.5625,-182.75,0.4277,0.7284,0.2491,-0.4738
0.52,0.66,0.65,53.5625,11.625,-179.375,0.4169,0.7269,0.2584,-0.4806
0.42,0.5,0.7,53.5625,11.625,-179.375,0.4169,0.7269,0.2584,-0.4806
0.06,0.45,0.79,51.75,11.4375,-176.375,0.4063,0.7253,0.2675,-0.4872
-0.46,0.66,0.82,45.1875,20.875,-172.875,0.3853,0.7217,0.286,-0.4988
-0.14,1.29,0.46,44.0,31.9375,-171.1875,0.3746,0.7203,0.2956,-0.5035
0.25,1.31,0.57,44.75,36.0625,-169.375,0.3637,0.7189,0.3051,-0.5077
0.56,1.21,0.76,44.75,36.0625,-169.375,0.353,0.7173,0.3142,-0.5121
0.61,0.73,1.06,45.1875,30.9375,-167.125,0.3425,0.7151,0.3229,-0.5168
0.67,0.83,0.98,43.75,15.9375,-161.3125,0.3323,0.7126,0.3312,-0.5216
0.73,1.02,0.94,42.9375,11.375,-157.1875,0.3224,0.7098,0.3391,-0.5265
0.93,1.03,0.73,42.1875,8.3125,-154.5625,0.3128,0.7069,0.3466,-0.5314
0.83,1.15,0.7,42.1875,8.3125,-154.5625,0.3032,0.7037,0.3539,-0.5363
0.56,1.22,0.76,42.4375,5.25,-152.9375,0.2938,0.7003,0.361,-0.5413
0.49,1.28,0.86,42.4375,-1.0625,-148.3125,0.2845,0.6967,0.3678,-0.5463
0.61,1.12,1.02,42.125,-2.4375,-144.5625,0.2754,0.6931,0.3743,-0.5512
0.58,1.24,1.08,42.125,-5.3125,-141.8125,0.2665,0.6892,0.3804,-0.5561
0.72,1.39,1.1,42.125,-5.3125,-141.8125,0.2665,0.6892,0.3804,-0.5561
0.77,1.19,1.14,41.6875,-6.125,-139.1875,0.249,0.6815,0.3922,-0.5655
0.68,1.14,1.04,40.9375,-6.0,-131.8125,0.2405,0.6776,0.3976,-0.5699
0.62,1.26,0.58,40.125,-2.75,-128.375,0.2321,0.674,0.403,-0.574
0.36,1.28,0.46,40.4375,0.5,-125.9375,0.2237,0.6704,0.4081,-0.5778
0.75,1.37,0.58,40.4375,0.5,-125.9375,0.2237,0.6704,0.4081,-0.5778
1.19,1.44,0.93,40.25,3.8125,-122.0625,0.2153,0.6671,0.4131,-0.5813
1.46,1.51,1.1,38.125,6.875,-111.5625,0.1993,0.6611,0.4224,-0.5872
1.3,1.48,1.11,37.875,4.875,-108.4375,0.1916,0.6581,0.4266,-0.5901
1.28,1.48,1.02,37.1875,2.125,-105.0625,0.1842,0.655,0.4306,-0.593
1.39,1.46,0.96,37.1875,2.125,-105.0625,0.1842,0.655,0.4306,-0.593
1.17,1.2,0.65,36.0,-0.1875,-100.375,0.1772,0.6519,0.4343,-0.5958
1.16,1.25,0.6,33.9375,-5.5625,-93.375,0.1641,0.6454,0.4411,-0.6016
1.42,1.32,0.51,32.3125,-4.875,-88.25,0.1581,0.6423,0.4442,-0.6043
2.03,1.25,0.69,30.0,-3.125,-81.3125,0.1524,0.6395,0.447,-0.6067
1.89,1.35,0.74,30.0,-3.125,-81.3125,0.1524,0.6395,0.447,-0.6067
1.64,1.43,0.73,28.3125,-1.375,-75.9375,0.147,0.6368,0.4496,-0.6088
1.52,1.48,0.7,26.5,-0.25,-71.5,0.1365,0.6323,0.4547,-0.6123
1.46,1.21,0.5,27.5625,4.5,-72.1875,0.1309,0.6301,0.4575,-0.6135
1.46,1.72,0.56,24.125,10.4375,-75.875,0.126,0.6288,0.4598,-0.6143
1.34,1.98,0.55,21.5625,14.5,-60.75,0.126,0.6288,0.4598,-0.6143
1.88,1.34,0.43,20.125,21.0625,-41.4375,0.122,0.6285,0.4612,-0.6144
2.34,1.85,0.7,17.25,31.625,-40.375,0.1135,0.6292,0.4643,-0.6129
2.41,2.08,1.1,16.3125,35.625,-38.6875,0.11,0.6297,0.4654,-0.6122
2.08,2.11,1.25,15.1875,29.6875,-30.1875,0.1071,0.63,0.4662,-0.6118
1.24,2.07,0.96,13.8125,21.875,-24.0,0.1071,0.63,0.4662,-0.6118
1.05,2.14,0.83,13.0625,15.375,-21.0625,0.1047,0.6301,0.4667,-0.6117
1.06,2.11,0.84,13.3125,9.4375,-19.75,0.1008,0.6296,0.4675,-0.6123
1.45,2.12,0.74,13.0625,4.8125,-17.3125,0.0994,0.6292,0.4676,-0.6128
1.65,2.13,0.74,12.4375,1.75,-13.5,0.0983,0.629,0.4675,-0.6133
1.83,2.1,0.73,11.25,1.5,-9.0,0.0983,0.629,0.4675,-0.6133
2.02,1.91,0.84,9.75,2.9375,-3.8125,0.0974,0.6292,0.4672,-0.6135
2.04,1.75,0.85,7.375,5.4375,1.5625,0.0967,0.6303,0.4662,-0.6132
2.22,1.6,0.93,4.625,8.9375,6.8125,0.0966,0.6317,0.4656,-0.6122
2.4,1.45,0.75,1.25,16.625,13.0625,0.0968,0.634,0.4649,-0.6103
2.85,1.38,0.26,-3.6875,29.4375,21.5625,0.0968,0.634,0.4649,-0.6103
3.16,1.34,0.38,-8.9375,43.1875,32.4375,0.0972,0.6375,0.464,-0.6074
3.36,1.19,0.68,-12.9375,51.8125,45.25,0.1002,0.6465,0.4606,-0.5998
2.22,0.98,0.8,-16.75,50.0,59.8125,0.1038,0.6509,0.4579,-0.5966
0.59,0.84,0.89,-20.25,33.5,73.75,0.1088,0.6542,0.4547,-0.5945
-0.72,0.8,0.7,-22.6875,7.9375,80.8125,0.1088,0.6542,0.4547,-0.5945
