lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-0.21,-0.08,-0.03,-17.6875,12.0625,-0.625,-0.0171,0.3259,-0.6437,-0.6922
-0.35,-0.04,0.01,-16.0,10.25,-2.4375,-0.0163,0.3268,-0.6426,-0.6928
-0.2,0.0,0.12,-13.125,9.5,-2.0,-0.0156,0.3275,-0.6418,-0.6932
-0.22,-0.11,0.02,-13.125,9.5,-2.0,-0.0156,0.3275,-0.6418,-0.6932
-0.48,-0.13,-0.16,-11.75,9.0,-1.5625,-0.015,0.3282,-0.6411,-0.6936
-0.51,-0.08,-0.07,-13.8125,11.4375,0.6875,-0.0136,0.3299,-0.6393,-0.6944
-0.5,-0.09,-0.09,-14.625,16.8125,1.5,-0.0122,0.3308,-0.6385,-0.6948
-0.52,-0.13,-0.02,-16.0625,22.0,1.1875,-0.0105,0.3321,-0.6376,-0.695
-0.49,-0.16,-0.19,-16.0625,22.0,1.1875,-0.0105,0.3321,-0.6376,-0.695
-0.43,-0.16,-0.21,-17.9375,26.8125,0.3125,-0.0085,0.3337,-0.6366,-0.6952
-0.2,-0.08,-0.1,-18.0625,29.1875,-1.0625,-0.0045,0.3373,-0.6344,-0.6955
0.22,-0.06,-0.19,-15.6875,23.5625,-2.3125,-0.0029,0.3389,-0.6334,-0.6956
0.28,-0.12,-0.44,-12.9375,15.5625,-5.0625,-0.002,0.3401,-0.6325,-0.6959
0.23,-0.2,-0.6,-12.9375,15.5625,-5.0625,-0.002,0.3401,-0.6325,-0.6959
-0.3,-0.35,-1.39,-9.125,7.1875,-8.8125,-0.0019,0.3409,-0.6317,-0.6962
-0.81,-0.26,-1.92,-6.875,-3.125,-14.875,-0.0032,0.3423,-0.6302,-0.697
-1.15,-0.02,-2.52,-6.875,-3.125,-14.875,-0.0044,0.3429,-0.6292,-0.6974
-1.4,0.31,-3.0,-6.75,-6.3125,-18.1875,-0.0064,0.3434,-0.6285,-0.6979
-1.44,0.71,-2.73,-1.375,-12.0625,-23.875,-0.0064,0.3434,-0.6285,-0.6979
-1.63,0.62,-2.36,10.0625,-24.375,-33.125,-0.0099,0.3437,-0.6281,-0.6981
-1.73,0.47,-1.91,24.4375,-42.8125,-45.5,-0.0234,0.3429,-0.6287,-0.6976
-2.51,0.0,-2.01,38.5,-62.375,-57.25,-0.033,0.3417,-0.6295,-0.697
-3.33,-0.01,-2.12,50.25,-78.5625,-67.6875,-0.0442,0.3404,-0.6302,-0.6964
-3.95,0.1,-2.47,57.1875,-91.3125,-79.1875,-0.0442,0.3404,-0.6302,-0.6964
-5.87,0.58,-3.66,59.625,-95.75,-91.4375,-0.0568,0.3391,-0.6309,-0.6956
-6.47,1.04,-3.2,59.5625,-89.75,-108.0625,-0.0827,0.3413,-0.6301,-0.6926
-6.73,1.52,-2.91,58.4375,-73.9375,-127.25,-0.0954,0.3459,-0.6294,-0.6893
-6.87,2.01,-2.8,64.6875,-45.0625,-144.4375,-0.1079,0.3531,-0.6289,-0.6842
-6.78,2.45,-3.07,77.4375,-13.6875,-163.5,-0.1079,0.3531,-0.6289,-0.6842
-6.73,2.39,-3.68,91.25,5.0625,-183.5,-0.1209,0.3622,-0.6287,-0.6774
-6.81,2.3,-4.35,105.0625,8.5,-204.5,-0.1518,0.383,-0.6279,-0.6603
-7.39,1.96,-4.11,119.6875,0.75,-225.0625,-0.1699,0.3936,-0.6272,-0.6503
-7.95,1.71,-3.89,131.625,-8.0,-241.125,-0.1889,0.4045,-0.626,-0.6393
