lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-2.62,0.48,-1.34,51.5,-94.25,9.875,0.7985,0.4265,-0.2386,-0.3516
-1.19,0.26,-2.18,55.5625,-77.0,15.4375,0.7953,0.4277,-0.246,-0.3522
-1.17,0.02,-2.7,52.4375,-50.5,19.3125,0.793,0.4293,-0.2516,-0.3516
-1.18,-0.1,-2.51,53.5,-27.5625,11.9375,0.7908,0.4318,-0.2555,-0.3506
-1.18,-0.1,-2.51,52.625,-14.4375,10.0,0.7888,0.4346,-0.2584,-0.3494
-0.27,-0.61,-1.45,51.4375,-7.6875,9.125,0.787,0.4377,-0.2607,-0.3479
0.21,-0.76,-0.81,48.875,-2.375,5.6875,0.7853,0.4407,-0.2626,-0.3466
-0.38,-0.57,-0.81,45.4375,3.1875,3.0625,0.7838,0.4437,-0.2638,-0.3452
-0.79,-0.52,-1.02,43.3125,6.5,1.0,0.7823,0.4468,-0.2646,-0.3439
-0.79,-0.52,-1.02,41.25,8.0625,-1.875,0.7814,0.4501,-0.2647,-0.3418
-1.05,-0.52,-1.06,37.6875,13.6875,-4.3125,0.7801,0.4531,-0.2647,-0.3407
-0.85,-0.07,0.0,33.0625,23.1875,-6.5625,0.7791,0.4561,-0.2639,-0.3395
-0.27,0.19,0.71,27.75,34.5625,-6.8125,0.7786,0.459,-0.2621,-0.338
0.1,0.62,1.79,21.3125,47.125,-3.1875,0.7787,0.4619,-0.2595,-0.3359
0.1,0.62,1.79,12.125,56.75,3.5625,0.7808,0.4651,-0.2546,-0.3304
-0.42,1.97,3.59,2.75,68.0625,6.0,0.7823,0.467,-0.2504,-0.3273
-1.64,4.33,4.57,-7.1875,86.8125,5.6875,0.7845,0.4689,-0.2447,-0.3237
-0.34,7.89,5.71,-19.5,102.5625,11.5625,0.7877,0.4701,-0.2379,-0.3192
0.27,9.18,6.25,-28.25,112.0,27.75,0.7918,0.4706,-0.2307,-0.3135
0.27,9.18,6.25,-30.6875,114.4375,47.625,0.7979,0.4717,-0.222,-0.3029
1.24,10.01,5.93,-22.375,114.8125,58.0625,0.8023,0.472,-0.2161,-0.2947
3.21,10.16,5.83,-11.25,99.3125,60.375,0.806,0.4725,-0.2114,-0.2869
7.04,9.6,5.11,2.75,68.8125,50.6875,0.8083,0.4735,-0.2089,-0.2806
6.95,8.47,3.83,23.3125,28.6875,40.0625,0.8089,0.475,-0.209,-0.2763
5.88,6.72,2.38,27.625,-3.125,26.125,0.8092,0.4771,-0.2094,-0.2715
3.77,5.08,0.94,17.0,-25.0625,17.125,0.8085,0.4774,-0.2122,-0.271
3.06,5.23,0.73,5.9375,-43.6875,12.1875,0.8077,0.4766,-0.2158,-0.2719
2.46,5.35,0.36,1.25,-56.125,7.4375,0.8068,0.4752,-0.2199,-0.2736
1.63,4.41,-0.67,0.0625,-54.75,0.1875,0.8058,0.4739,-0.2236,-0.2758
-0.07,3.42,-0.12,0.5,-53.125,-12.75,0.8045,0.473,-0.2267,-0.2786
-2.71,3.98,-0.77,-14.25,-26.75,-14.5,0.8043,0.4717,-0.2276,-0.2809
-3.71,4.19,1.72,-29.4375,16.5625,-0.5,0.8057,0.47,-0.2258,-0.2809
2.04,4.18,3.42,-28.0625,-3.5,-0.5625,0.8068,0.4681,-0.2253,-0.2816
1.03,4.26,3.31,-25.625,-40.125,-11.9375,0.8067,0.4656,-0.227,-0.2844
-0.46,3.79,2.96,-18.6875,-53.625,-19.4375,0.8066,0.4639,-0.2285,-0.2866
-1.22,2.64,3.22,-18.5625,-64.1875,-22.5625,0.8055,0.4615,-0.2315,-0.291
-1.85,1.86,3.51,-21.3125,-78.25,-29.1875,0.804,0.4587,-0.2352,-0.2964
-3.1,1.34,3.16,-25.625,-81.5,-41.625,0.8024,0.4557,-0.2384,-0.3029
-6.06,0.62,2.24,-32.0,-70.5,-54.5625,0.8007,0.4528,-0.2403,-0.3099
-6.06,0.57,1.18,-36.8125,-54.3125,-62.75,0.7996,0.4503,-0.2403,-0.3165
-6.02,0.26,-0.25,-36.5625,-26.25,-70.875,0.7985,0.4485,-0.2384,-0.3231
-6.82,-0.38,-2.07,-24.5625,15.6875,-88.3125,0.7973,0.449,-0.2333,-0.3289
-6.69,-1.15,-5.47,-8.125,64.4375,-104.4375,0.796,0.4523,-0.2248,-0.3337
-4.87,-1.21,-6.31,-3.5,97.5,-100.625,0.795,0.4567,-0.2143,-0.3367
-2.33,-1.59,-6.31,-3.5,97.5,-100.625,0.7949,0.4601,-0.2043,-0.3385
-0.15,-4.3,-1.44,-11.3125,91.9375,-82.1875,0.7946,0.462,-0.197,-0.3412
-0.32,-5.71,-0.02,-13.75,40.625,-75.25,0.7936,0.4635,-0.1909,-0.3448
-0.71,-5.91,-0.21,-14.25,45.0625,-68.25,0.7928,0.465,-0.1848,-0.3479
-1.01,-7.75,-1.07,-23.8125,66.875,-59.75,0.7931,0.4662,-0.1772,-0.3496
0.59,-8.52,-1.77,-30.25,89.875,-50.6875,0.7945,0.4678,-0.1678,-0.349
