lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
3.78,-0.48,-0.43,-69.1875,65.9375,81.0625,0.3578,0.7969,-0.2235,-0.4323
3.0,-0.59,-0.34,-74.0,63.0625,81.5,0.3669,0.7954,-0.2244,-0.427
2.35,-0.8,-0.33,-76.75,65.9375,88.4375,0.3765,0.7937,-0.2255,-0.4213
2.14,-1.02,-0.21,-78.875,64.25,93.3125,0.3863,0.7916,-0.2269,-0.4155
1.92,-1.15,0.03,-82.1875,53.0625,93.5,0.3961,0.789,-0.2285,-0.4104
0.52,-1.33,0.47,-85.6875,34.875,90.5,0.4056,0.7855,-0.2304,-0.4067
-0.81,-1.32,0.58,-89.6875,14.8125,84.9375,0.4147,0.7812,-0.2324,-0.4045
-1.68,-1.04,0.76,-93.9375,-4.875,80.75,0.4235,0.7762,-0.2347,-0.4038
-2.28,-0.95,0.6,-96.625,-22.0,81.75,0.4322,0.7703,-0.2375,-0.4042
-3.25,-1.26,0.08,-98.75,-30.6875,78.875,0.4407,0.764,-0.2404,-0.4053
-3.58,-1.44,-0.47,-100.5625,-31.625,68.5625,0.4489,0.7578,-0.2426,-0.4068
-4.28,-1.59,-0.99,-103.8125,-30.75,49.6875,0.4565,0.7517,-0.2433,-0.409
-5.89,-1.64,-1.01,-108.3125,-30.0,34.4375,0.464,0.7457,-0.2429,-0.4117
-6.54,-1.9,-1.04,-109.5625,-24.875,24.625,0.4713,0.7401,-0.2416,-0.4146
-6.63,-2.0,-0.93,-107.6875,-15.1875,15.375,0.4781,0.7349,-0.2394,-0.4171
-6.39,-2.08,-0.89,-102.25,-6.4375,7.0625,0.4846,0.7303,-0.2365,-0.4193
-6.18,-2.28,-0.99,-95.375,-3.4375,-4.875,0.4902,0.7264,-0.233,-0.4216
-6.37,-2.21,-1.13,-88.0625,-4.625,-21.1875,0.4948,0.723,-0.2287,-0.4245
-6.7,-1.96,-1.33,-81.125,-5.875,-36.5625,0.4983,0.72,-0.2238,-0.4279
-7.8,-1.1,-1.25,-75.6875,-2.3125,-48.375,0.5011,0.7177,-0.2182,-0.4315
-7.93,-0.43,-1.19,-69.6875,5.125,-56.625,0.5034,0.7159,-0.212,-0.4349
-7.82,0.31,-1.08,-61.1875,14.875,-60.75,0.5051,0.715,-0.2054,-0.4377
-7.72,1.0,-1.03,-50.0,24.4375,-67.25,0.506,0.7148,-0.1985,-0.4399
-8.03,2.33,-1.18,-36.6875,33.125,-81.25,0.5057,0.7159,-0.1908,-0.442
-8.21,2.9,-1.2,-22.625,37.5625,-98.1875,0.504,0.7178,-0.1824,-0.4443
-8.27,3.26,-1.08,-8.5625,37.5625,-113.6875,0.5009,0.7206,-0.1736,-0.4469
-8.02,3.5,-0.83,3.0,32.625,-126.4375,0.4963,0.7238,-0.1646,-0.4502
-6.44,3.58,-0.78,12.25,25.5625,-138.0,0.4907,0.7272,-0.1556,-0.4542
-5.7,3.61,-0.76,19.3125,18.6875,-154.5,0.4838,0.7307,-0.146,-0.4592
-5.0,3.65,-0.74,24.4375,8.9375,-176.75,0.4754,0.7341,-0.1357,-0.4655
