lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
0.17,0.11,0.2,-1.0,-0.375,-2.6875,0.5609,0.7029,-0.1304,-0.4175
0.18,0.15,0.21,-1.5625,-0.375,-2.4375,0.5609,0.7028,-0.1302,-0.4177
0.23,0.14,0.18,-1.6875,0.375,-1.75,0.561,0.7027,-0.1301,-0.4177
0.27,0.13,0.15,-1.3125,0.5625,-1.125,0.5612,0.7026,-0.1301,-0.4177
0.26,0.1,0.16,-1.4375,0.4375,-0.3125,0.5614,0.7025,-0.1301,-0.4177
0.24,0.09,0.15,-1.375,-0.375,0.25,0.5616,0.7023,-0.1301,-0.4177
0.2,0.13,0.14,-1.4375,-1.4375,0.5625,0.5618,0.7021,-0.1302,-0.4177
0.17,0.13,0.15,-1.25,-2.75,0.75,0.5619,0.7019,-0.1304,-0.4178
0.11,0.14,0.13,-1.0,-3.625,0.3125,0.562,0.7017,-0.1306,-0.4181
0.09,0.1,0.05,-0.625,-4.3125,0.125,0.562,0.7015,-0.1308,-0.4183
0.05,0.08,0.02,-0.75,-4.25,0.25,0.562,0.7012,-0.131,-0.4186
0.03,0.08,0.0,-0.875,-3.3125,0.375,0.5621,0.7011,-0.1312,-0.4188
0.06,0.09,-0.02,-1.25,-2.375,0.625,0.5621,0.7009,-0.1313,-0.4189
0.12,0.13,-0.08,-1.6875,-1.8125,1.0,0.5623,0.7008,-0.1313,-0.4189
0.08,0.06,-0.03,-1.75,-2.0,1.5,0.5624,0.7006,-0.1315,-0.419
0.01,0.08,-0.06,-1.1875,-1.4375,1.9375,0.5625,0.7005,-0.1317,-0.419
-0.02,0.06,-0.07,-0.875,-1.625,2.125,0.5626,0.7004,-0.1318,-0.419
-0.02,0.09,-0.12,-0.6875,-2.0,2.5,0.5627,0.7003,-0.1321,-0.419
0.01,0.1,-0.14,0.0625,-3.375,2.375,0.5628,0.7001,-0.1324,-0.4191
-0.08,0.1,-0.12,0.75,-4.75,1.6875,0.5627,0.7,-0.1328,-0.4193
-0.2,0.02,-0.16,0.9375,-4.5,1.0,0.5626,0.6999,-0.1331,-0.4194
-0.13,0.02,-0.17,0.8125,-3.9375,0.4375,0.5625,0.6998,-0.1332,-0.4197
-0.14,0.04,-0.2,0.1875,-3.0,0.8125,0.5624,0.6998,-0.1334,-0.4198
-0.14,0.03,-0.21,-0.1875,-1.8125,1.0625,0.5624,0.6997,-0.1335,-0.4199
-0.15,0.03,-0.18,-0.375,-1.0,0.8125,0.5624,0.6997,-0.1336,-0.4199
-0.11,0.02,-0.17,-0.375,-0.5,1.25,0.5624,0.6998,-0.1337,-0.4198
-0.13,0.04,-0.14,-0.125,-0.5,2.0,0.5624,0.6998,-0.1338,-0.4197
-0.1,0.07,-0.1,0.375,-0.3125,2.0625,0.5624,0.6998,-0.1339,-0.4196
-0.15,0.05,-0.07,1.25,-0.8125,2.0,0.5624,0.6998,-0.1341,-0.4196
-0.14,0.06,-0.05,1.875,-1.8125,1.25,0.5623,0.6998,-0.1343,-0.4196
-0.14,0.05,-0.05,2.25,-2.3125,0.9375,0.5621,0.6998,-0.1346,-0.4196
-0.2,0.02,-0.04,2.625,-1.25,0.875,0.562,0.7,-0.1348,-0.4197
-0.14,0.03,-0.05,2.5,-0.8125,0.8125,0.5618,0.7,-0.1349,-0.4196
-0.16,0.04,-0.04,2.375,0.1875,0.8125,0.5617,0.7001,-0.135,-0.4196
-0.13,0.03,0.0,2.125,0.5,0.8125,0.5616,0.7003,-0.1351,-0.4196
-0.13,0.06,-0.01,1.5625,0.6875,1.1875,0.5615,0.7003,-0.1352,-0.4194
-0.07,0.02,-0.02,1.5625,1.3125,1.125,0.5615,0.7004,-0.1353,-0.4193
