lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
0.44,-0.3,0.22,7.8125,-78.75,42.75,0.0294,0.5624,0.6533,-0.506
1.04,0.01,0.51,6.4375,-77.4375,43.625,0.0353,0.5615,0.6508,-0.5099
3.5,0.96,1.34,1.0625,-77.5625,50.125,0.0416,0.5609,0.6481,-0.5134
3.81,0.35,1.34,-2.4375,-81.0625,56.0,0.0486,0.5604,0.6453,-0.5169
1.68,0.86,1.27,-15.8125,-84.75,40.9375,0.0558,0.5589,0.6436,-0.5199
0.34,1.67,0.79,-18.0625,-87.4375,25.875,0.0625,0.5563,0.6428,-0.5229
0.58,1.41,0.05,-11.125,-84.6875,26.4375,0.0688,0.554,0.6415,-0.5261
1.18,1.45,0.43,-2.9375,-84.5,25.9375,0.0746,0.5516,0.64,-0.5297
1.89,1.3,0.4,-0.9375,-89.125,28.25,0.0808,0.5491,0.6381,-0.5336
0.77,1.26,0.07,-2.0,-90.75,23.8125,0.0869,0.5463,0.6364,-0.5376
0.57,1.0,0.23,2.0625,-88.1875,21.875,0.0925,0.5435,0.6346,-0.5416
0.8,0.81,0.29,1.4375,-75.25,18.4375,0.0973,0.541,0.6332,-0.545
1.35,0.75,0.31,4.25,-65.3125,22.0,0.1016,0.5392,0.6314,-0.548
0.78,0.63,0.24,3.5625,-56.1875,29.3125,0.1058,0.5381,0.6294,-0.5505
0.73,0.79,-0.11,0.875,-49.875,33.1875,0.11,0.5376,0.6274,-0.5525
0.81,0.98,-0.35,-0.3125,-46.3125,38.5625,0.1142,0.5375,0.6252,-0.5542
1.01,1.21,-0.52,-1.75,-48.6875,45.6875,0.119,0.5376,0.6227,-0.5559
1.45,1.58,-0.46,-2.1875,-53.0625,55.1875,0.1245,0.538,0.6198,-0.5576
1.46,1.66,-0.21,-2.375,-58.6875,63.625,0.1307,0.5385,0.6164,-0.5595
1.75,1.61,-0.11,-2.625,-62.0625,69.6875,0.1373,0.5391,0.6126,-0.5614
1.45,1.41,0.15,-0.6875,-63.6875,75.4375,0.1442,0.54,0.6085,-0.5634
0.13,1.37,0.36,0.3125,-66.0,80.0625,0.1514,0.541,0.604,-0.5654
-1.12,1.45,0.24,0.875,-63.5625,80.5,0.1584,0.5421,0.5994,-0.5673
-1.47,1.5,0.07,3.1875,-48.5625,76.3125,0.1644,0.5436,0.5951,-0.5686
-1.03,1.57,-0.48,5.875,-25.6875,72.8125,0.1689,0.5461,0.5911,-0.5691
-0.69,1.67,-0.7,6.25,-7.25,72.75,0.1725,0.5494,0.5873,-0.5687
0.26,1.95,-0.96,4.0,0.75,79.0,0.1761,0.5535,0.5835,-0.5677
0.83,3.36,-2.25,2.0,-0.4375,92.4375,0.1804,0.558,0.579,-0.5664
0.94,3.83,-2.58,8.375,0.9375,104.125,0.1849,0.5633,0.5737,-0.5651
1.0,4.16,-3.03,18.25,16.125,113.1875,0.1887,0.5698,0.5677,-0.5635
0.43,4.26,-3.17,31.6875,40.8125,118.25,0.1908,0.5779,0.5611,-0.5611
-0.24,4.51,-3.09,46.375,59.8125,118.3125,0.1913,0.587,0.554,-0.5584
0.04,4.49,-2.94,60.5,70.1875,117.75,0.1906,0.5968,0.5464,-0.5558
0.78,4.44,-2.66,73.3125,75.1875,118.6875,0.189,0.6069,0.5381,-0.5535
0.8,4.14,-2.32,85.875,75.4375,122.0,0.1868,0.6173,0.5291,-0.5515
0.41,3.71,-2.48,99.25,68.3125,121.5625,0.1842,0.6274,0.5191,-0.5504
-0.08,3.3,-2.39,111.0625,66.875,125.0625,0.1812,0.6377,0.5083,-0.5497
0.04,2.92,-2.15,118.0,67.75,130.9375,0.178,0.6482,0.4968,-0.5491
1.06,2.35,-1.51,118.9375,67.875,140.6875,0.1751,0.6589,0.4845,-0.5482
0.46,2.09,-1.08,113.125,66.75,151.6875,0.1731,0.6698,0.4717,-0.5468
-0.23,1.97,-0.54,105.875,65.6875,160.0,0.1719,0.6807,0.4587,-0.5448
-0.05,1.94,-0.21,99.75,68.1875,168.1875,0.1712,0.6917,0.4453,-0.5422
0.17,1.62,0.26,92.6875,73.3125,175.5,0.171,0.7028,0.4318,-0.5388
0.57,1.49,0.47,86.8125,72.5625,179.5625,0.1714,0.7138,0.4182,-0.535
0.82,1.25,0.63,81.0625,67.75,185.875,0.1724,0.7245,0.4042,-0.531
1.18,1.06,0.41,75.25,60.3125,192.375,0.1744,0.7347,0.3899,-0.527
1.06,0.92,0.23,69.4375,51.5,197.6875,0.1771,0.7444,0.3752,-0.5231
-0.06,0.77,0.22,63.625,47.3125,199.8125,0.1804,0.7537,0.3605,-0.519
-0.97,0.94,0.36,56.75,49.625,194.5625,0.1838,0.7626,0.3463,-0.5145
-1.4,1.37,0.3,48.125,60.25,188.9375,0.1871,0.7714,0.3329,-0.509
-1.21,1.31,0.45,41.5625,72.4375,183.875,0.1902,0.7802,0.3203,-0.5025
-0.5,1.19,0.65,36.3125,76.8125,180.875,0.1934,0.7888,0.308,-0.4955
0.59,1.02,0.59,32.25,70.8125,182.4375,0.1971,0.7969,0.2956,-0.4885
0.66,0.93,0.32,30.875,53.875,184.9375,0.2012,0.8042,0.2827,-0.4825
0.16,0.89,0.04,33.875,32.75,186.375,0.2057,0.8104,0.2692,-0.4779
-0.87,0.86,-0.57,41.5625,14.1875,184.125,0.21,0.8158,0.2551,-0.4746
-3.44,1.0,-0.75,52.8125,-0.125,175.8125,0.2133,0.8204,0.2409,-0.4726
-2.97,1.11,-0.59,61.375,-11.125,165.9375,0.2159,0.8244,0.2267,-0.4716
-2.12,0.9,-0.27,65.75,-11.3125,163.25,0.218,0.8282,0.2125,-0.4706
-1.15,0.56,-0.02,68.8125,-7.5625,164.1875,0.2198,0.832,0.1981,-0.4692
0.63,0.33,0.72,70.25,-6.375,165.8125,0.2216,0.8358,0.1835,-0.4678
1.14,0.32,1.17,73.0,-11.1875,165.125,0.2231,0.8391,0.1688,-0.4666
0.83,-0.03,0.95,72.75,-21.375,159.5625,0.2245,0.8418,0.1542,-0.466
-2.24,0.17,0.18,71.1875,-31.75,169.0625,0.2264,0.844,0.1387,-0.4659
-3.08,0.28,0.01,81.625,-39.75,171.875,0.2278,0.8459,0.1224,-0.4664
-2.95,0.4,-0.15,87.125,-44.1875,160.25,0.2284,0.8474,0.1067,-0.4673
-3.11,0.55,-0.14,87.25,-43.5,143.4375,0.2281,0.8486,0.0922,-0.4684
-3.09,0.05,0.19,86.4375,-44.625,134.5625,0.2276,0.8494,0.0782,-0.4696
-2.43,-0.11,0.59,85.8125,-46.25,129.25,0.2269,0.85,0.0646,-0.471
-1.89,-0.14,0.91,87.625,-46.875,122.8125,0.2257,0.8504,0.0514,-0.4724
-1.05,-0.28,1.28,89.25,-47.3125,119.0,0.2242,0.8507,0.0384,-0.4739
-0.67,-0.34,1.26,87.6875,-47.0625,119.0,0.2228,0.8508,0.0255,-0.4753
-0.26,-0.18,1.34,87.8125,-48.25,119.75,0.2214,0.8506,0.0124,-0.4766
0.0,-0.3,1.16,89.8125,-53.3125,118.125,0.2197,0.8503,-0.0007,-0.4783
-1.83,-0.46,1.04,90.375,-61.0625,108.75,0.2176,0.8494,-0.0133,-0.4807
-2.2,-0.3,1.06,90.4375,-71.9375,96.0,0.2149,0.848,-0.0252,-0.4839
-2.0,-0.31,1.2,88.75,-78.5625,89.0625,0.212,0.8461,-0.0366,-0.4877
-1.65,-0.41,1.42,85.625,-79.875,84.625,0.2091,0.844,-0.0476,-0.4916
-1.0,-0.68,1.88,80.5,-81.6875,80.3125,0.2064,0.8417,-0.0581,-0.4956
