lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-0.53,1.44,1.76,4.375,-26.875,-5.8125,0.6615,0.7326,0.0006,-0.1603
-0.43,1.44,1.94,7.25,-31.0,-7.8125,0.6609,0.7326,-0.0007,-0.1627
-0.31,1.31,1.98,10.375,-34.6875,-10.125,0.6602,0.7327,-0.0022,-0.1654
-0.24,1.12,2.0,10.375,-34.6875,-10.125,0.6602,0.7327,-0.0022,-0.1654
-0.15,0.7,1.94,13.0625,-38.375,-12.4375,0.658,0.7332,-0.0053,-0.1718
-0.11,0.54,1.91,15.25,-42.125,-15.9375,0.6568,0.7333,-0.0069,-0.1753
-0.09,0.44,1.89,15.125,-41.625,-15.8125,0.6556,0.7336,-0.0084,-0.1787
0.04,0.14,1.78,14.875,-39.625,-15.375,0.6544,0.7338,-0.0099,-0.182
0.2,0.0,1.72,14.875,-39.625,-15.375,0.6544,0.7338,-0.0099,-0.182
0.34,-0.16,1.7,14.1875,-36.75,-15.3125,0.6529,0.734,-0.0126,-0.1864
0.44,-0.3,1.71,12.3125,-34.75,-14.4375,0.6508,0.7344,-0.015,-0.1923
0.61,-0.51,1.69,11.4375,-36.75,-14.4375,0.6498,0.7344,-0.0164,-0.1953
0.73,-0.58,1.62,10.625,-39.625,-13.8125,0.6488,0.7344,-0.0178,-0.1985
0.77,-0.6,1.55,10.625,-39.625,-13.8125,0.6488,0.7344,-0.0178,-0.1985
0.75,-0.62,1.48,10.6875,-42.3125,-13.125,0.6478,0.7343,-0.0197,-0.202
0.67,-0.61,1.49,10.6875,-46.125,-12.5625,0.6459,0.7339,-0.0234,-0.209
0.65,-0.58,1.46,10.75,-47.25,-11.3125,0.6449,0.7336,-0.0255,-0.2125
0.62,-0.51,1.45,11.0,-48.1875,-10.0625,0.6458,0.7318,-0.0282,-0.2159
0.65,-0.3,1.47,11.0,-48.1875,-10.0625,0.6458,0.7318,-0.0282,-0.2159
0.57,-0.19,1.49,11.5,-48.8125,-8.5,0.6466,0.7299,-0.0311,-0.2194
0.54,-0.05,1.55,13.25,-53.0,-6.3125,0.6445,0.7294,-0.0364,-0.2264
0.47,0.09,1.52,13.25,-53.0,-6.3125,0.6433,0.7292,-0.0393,-0.23
0.34,0.48,1.63,14.0,-55.4375,-5.25,0.6422,0.7288,-0.0425,-0.2338
0.24,0.64,1.69,14.4375,-57.6875,-4.125,0.6422,0.7288,-0.0425,-0.2338
0.18,0.82,1.72,15.25,-58.8125,-3.5625,0.6409,0.7285,-0.0458,-0.2375
0.15,0.95,1.75,16.3125,-59.8125,-4.0,0.6382,0.7279,-0.0524,-0.2453
0.09,0.97,1.68,17.4375,-61.125,-4.5,0.6367,0.7276,-0.0558,-0.2493
0.08,0.95,1.63,18.375,-61.375,-5.1875,0.6351,0.7274,-0.0591,-0.2532
0.09,0.98,1.52,18.5,-60.6875,-5.875,0.6351,0.7274,-0.0591,-0.2532
0.19,0.93,1.42,17.75,-59.1875,-6.1875,0.6331,0.7269,-0.0637,-0.2583
