lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-7.04,-0.86,1.28,6.1875,-56.0625,26.4375,-0.0272,-0.0315,0.9931,-0.1094
-8.3,-1.26,1.48,6.1875,-56.0625,26.4375,-0.0272,-0.0315,0.9931,-0.1094
-8.29,-1.06,1.42,-7.0,-15.9375,-2.5,-0.0258,-0.0318,0.9932,-0.1088
-8.02,-0.81,1.42,-35.25,71.5,-58.5,-0.0352,-0.0383,0.9932,-0.1041
-7.32,-0.32,1.74,-47.8125,110.625,-84.625,-0.0453,-0.0443,0.993,-0.1002
-7.11,-0.22,1.89,-58.0625,144.5625,-109.4375,-0.0586,-0.052,0.9924,-0.0954
-6.47,0.07,1.82,-58.0625,144.5625,-109.4375,-0.0586,-0.052,0.9924,-0.0954
-5.39,0.4,1.63,-64.9375,171.4375,-130.625,-0.0743,-0.0612,0.9913,-0.09
-1.99,1.06,1.15,-62.375,196.0625,-153.25,-0.1094,-0.0825,0.9874,-0.0793
-0.42,1.06,1.01,-55.125,196.125,-151.75,-0.1271,-0.0933,0.9847,-0.0746
1.28,1.15,0.96,-44.75,185.0,-141.875,-0.1437,-0.1035,0.9816,-0.0709
2.83,1.11,1.04,-44.75,185.0,-141.875,-0.1437,-0.1035,0.9816,-0.0709
4.95,0.7,1.29,-33.75,164.6875,-127.125,-0.1584,-0.1125,0.9786,-0.0679
5.82,0.62,1.12,-17.5625,106.875,-88.5,-0.1801,-0.127,0.9733,-0.0641
6.82,0.59,0.71,-17.5625,106.875,-88.5,-0.1869,-0.1313,0.9716,-0.0629
8.57,0.81,0.18,-13.8125,77.125,-60.9375,-0.1909,-0.1335,0.9705,-0.0621
9.1,0.49,0.17,-9.0,46.0625,-32.0625,-0.1909,-0.1335,0.9705,-0.0621
9.22,0.42,0.11,-2.125,9.4375,-4.625,-0.1918,-0.1339,0.9703,-0.062
8.92,0.72,0.02,2.75,-26.4375,24.625,-0.1841,-0.1281,0.9725,-0.0631
7.72,0.89,-0.33,7.125,-59.5,53.0,-0.1761,-0.1223,0.9746,-0.0643
6.8,0.94,-0.46,11.6875,-91.0,78.6875,-0.1656,-0.1149,0.9772,-0.0659
5.88,0.96,-0.44,15.8125,-119.5625,100.0625,-0.1656,-0.1149,0.9772,-0.0659
3.63,0.47,-0.37,19.5625,-141.1875,116.5625,-0.1531,-0.1063,0.9802,-0.0677
2.85,0.53,-0.44,22.5,-155.5,127.875,-0.1246,-0.087,0.9857,-0.0722
2.05,0.59,-0.45,26.0625,-163.6875,135.3125,-0.1096,-0.0767,0.9882,-0.0749
1.2,0.61,-0.24,29.25,-166.875,138.6875,-0.0945,-0.0665,0.9902,-0.0777
-1.08,0.57,0.1,33.0625,-165.75,135.5,-0.0796,-0.0565,0.9919,-0.0806
-2.25,0.47,0.23,33.875,-159.9375,128.0,-0.0652,-0.0471,0.9933,-0.0835
-3.45,0.35,0.39,33.8125,-152.875,117.8125,-0.0513,-0.0385,0.9942,-0.0864
-5.81,0.15,0.39,33.125,-142.875,104.125,-0.0385,-0.0309,0.9948,-0.0892
-6.81,-0.11,0.6,30.3125,-127.0625,83.75,-0.0271,-0.0249,0.9951,-0.0916
-7.42,-0.64,0.83,24.6875,-102.9375,59.3125,-0.0179,-0.0208,0.9952,-0.0936
-7.76,-0.91,0.89,17.125,-71.625,33.0625,-0.0116,-0.0186,0.9952,-0.095
-8.19,-0.74,1.11,7.9375,-35.5,5.25,-0.0085,-0.0184,0.9952,-0.0956
-8.32,-0.73,1.39,-3.375,5.4375,-24.0625,-0.0092,-0.0204,0.9952,-0.0953
-8.4,-0.64,1.54,-14.6875,47.375,-52.0625,-0.0137,-0.0244,0.9952,-0.0941
-8.16,-0.36,1.61,-25.0,86.875,-78.125,-0.0217,-0.0302,0.9951,-0.0921
-6.74,0.16,1.66,-33.25,122.1875,-101.3125,-0.0328,-0.0377,0.9948,-0.0894
-6.12,0.35,1.58,-38.8125,151.0625,-120.75,-0.0465,-0.0466,0.9941,-0.0863
-5.2,0.52,1.49,-41.0,171.75,-134.8125,-0.0621,-0.0565,0.993,-0.083
-2.27,0.66,1.36,-40.25,182.375,-143.9375,-0.0786,-0.0671,0.9915,-0.0797
-1.0,0.76,1.2,-37.375,184.5,-147.25,-0.0952,-0.0779,0.9894,-0.0766
0.21,0.81,1.04,-32.8125,180.8125,-145.875,-0.1115,-0.0886,0.9871,-0.0739
1.26,0.87,0.97,-27.125,172.8125,-139.5,-0.1269,-0.0989,0.9844,-0.0716
4.44,1.23,0.7,-19.875,158.75,-126.875,-0.141,-0.1083,0.9816,-0.0699
6.13,1.3,0.4,-10.25,138.5,-107.625,-0.1532,-0.1163,0.9789,-0.069
7.32,1.48,0.15,0.1875,109.9375,-84.25,-0.1628,-0.1226,0.9766,-0.069
8.26,1.33,0.27,8.4375,74.9375,-58.1875,-0.1692,-0.127,0.9749,-0.0696
8.04,1.26,0.16,12.1875,38.3125,-28.125,-0.1724,-0.1293,0.9739,-0.0707
7.97,1.55,-0.13,17.1875,1.5,-1.25,-0.1724,-0.1296,0.9738,-0.0721
8.13,0.98,-0.45,21.6875,-35.5,25.75,-0.169,-0.1281,0.9745,-0.0739
7.86,1.3,-0.85,21.6875,-35.5,25.75,-0.1627,-0.1246,0.9758,-0.076
7.48,1.2,-0.72,30.25,-99.125,75.3125,-0.1537,-0.1194,0.9777,-0.0785
6.79,1.13,-0.57,33.8125,-122.3125,94.875,-0.1426,-0.1128,0.98,-0.0813
5.9,1.1,-0.37,36.3125,-138.6875,110.0,-0.1301,-0.1051,0.9823,-0.0843
3.42,0.64,-0.03,37.9375,-146.625,118.9375,-0.1167,-0.0967,0.9846,-0.0874
2.19,0.5,-0.07,38.125,-148.4375,123.9375,-0.1031,-0.0878,0.9866,-0.0906
1.31,0.42,-0.03,38.75,-149.4375,125.8125,-0.0894,-0.0788,0.9885,-0.0938
-0.83,0.29,0.22,38.3125,-146.625,122.8125,-0.0759,-0.07,0.9899,-0.0969
-1.78,0.2,0.57,37.25,-140.25,116.125,-0.063,-0.0616,0.9911,-0.1
-2.55,0.21,0.86,35.125,-131.0625,106.375,-0.0509,-0.054,0.9919,-0.1028
-3.53,0.09,1.06,35.125,-131.0625,106.375,-0.0402,-0.0476,0.9925,-0.1052
-6.35,-0.36,1.52,24.0625,-93.625,67.5,-0.0317,-0.0428,0.9928,-0.1071
-7.36,-0.73,1.59,14.3125,-62.4375,41.125,-0.026,-0.04,0.993,-0.1082
-7.79,-0.85,1.59,3.0625,-25.75,13.1875,-0.0237,-0.0391,0.993,-0.1083
-7.7,-0.68,1.69,-9.75,14.0,-15.5625,-0.025,-0.0403,0.993,-0.1075
-7.71,-0.44,1.75,-9.75,14.0,-15.5625,-0.0302,-0.0435,0.993,-0.1057
-7.87,-0.21,1.81,-35.0,95.125,-71.5,-0.0389,-0.0485,0.9927,-0.1029
-7.64,0.04,1.76,-43.875,128.5625,-94.0625,-0.0507,-0.0551,0.9922,-0.0994
-5.59,0.69,1.3,-47.0625,151.625,-111.8125,-0.0646,-0.063,0.9913,-0.0957
-4.45,0.78,1.1,-46.1875,164.875,-124.5,-0.0796,-0.0718,0.99,-0.092
-3.12,0.77,0.89,-41.0,170.375,-130.5,-0.0951,-0.0811,0.9882,-0.0887
0.12,0.97,0.59,-32.4375,167.0625,-129.625,-0.1102,-0.0905,0.986,-0.0861
1.38,0.92,0.45,-22.75,156.625,-123.8125,-0.1243,-0.0994,0.9836,-0.0842
2.67,0.98,0.22,-11.6875,138.5,-112.4375,-0.1367,-0.1076,0.9812,-0.0833
4.01,0.97,0.05,-0.375,113.375,-95.375,-0.1468,-0.1147,0.9789,-0.0832
6.25,0.96,-0.28,-0.375,113.375,-95.375,-0.1541,-0.1204,0.9771,-0.0839
6.58,0.99,-0.43,18.75,49.4375,-50.75,-0.1583,-0.1245,0.9758,-0.0853
6.78,0.86,-0.59,24.3125,15.375,-25.5,-0.1595,-0.1268,0.9752,-0.0871
6.9,0.85,-0.78,27.5625,-17.0625,2.3125,-0.1578,-0.1271,0.9752,-0.0892
7.08,0.94,-1.01,32.375,-48.875,27.5,-0.1532,-0.1256,0.9759,-0.0917
7.0,0.71,-0.99,32.375,-48.875,27.5,-0.1459,-0.1225,0.9771,-0.0947
6.58,0.9,-0.88,37.625,-79.1875,50.5,-0.1364,-0.118,0.9787,-0.0978
5.27,0.59,-0.47,43.75,-119.25,88.1875,-0.1254,-0.1122,0.9805,-0.1013
4.5,0.55,-0.35,45.625,-130.3125,101.8125,-0.1133,-0.1053,0.9824,-0.1049
3.78,0.5,-0.11,46.625,-137.3125,111.5625,-0.1005,-0.0977,0.9841,-0.1086
2.97,0.38,0.11,46.625,-137.3125,111.5625,-0.0873,-0.0896,0.9858,-0.1124
0.83,0.25,0.45,47.1875,-140.1875,117.5,-0.0741,-0.0812,0.9871,-0.1161
-0.12,0.27,0.68,45.25,-140.5625,120.4375,-0.0609,-0.0729,0.9883,-0.1196
-1.15,0.25,0.95,42.5625,-137.625,115.3125,-0.048,-0.0648,0.9891,-0.1229
-3.75,-0.18,1.53,38.375,-131.4375,105.1875,-0.0356,-0.0576,0.9897,-0.1258
-4.76,-0.36,1.78,38.375,-131.4375,105.1875,-0.0245,-0.0515,0.9901,-0.1281
-5.66,-0.65,2.06,31.5625,-120.3125,89.875,-0.0152,-0.0468,0.9904,-0.1297
-6.47,-0.89,2.19,10.6875,-72.625,44.5625,-0.0086,-0.0439,0.9905,-0.1304
-7.31,-0.62,2.26,-2.25,-38.9375,19.0625,-0.0051,-0.0427,0.9906,-0.13
-7.44,-0.47,2.41,-16.875,-1.4375,-8.9375,-0.0052,-0.0435,0.9907,-0.1286
-7.57,-0.47,2.49,-16.875,-1.4375,-8.9375,-0.0089,-0.0462,0.9909,-0.126
-7.37,-0.02,2.35,-31.8125,38.0,-37.75,-0.0161,-0.0509,0.991,-0.1226
-7.16,0.27,2.13,-55.625,109.25,-93.0,-0.0265,-0.0575,0.991,-0.1182
-6.73,0.59,1.92,-63.625,138.3125,-114.8125,-0.0395,-0.0656,0.9906,-0.1133
-5.52,0.91,1.48,-65.375,159.375,-128.75,-0.0544,-0.0746,0.9898,-0.1083
-1.39,1.54,0.67,-65.375,159.375,-128.75,-0.07,-0.084,0.9886,-0.1036
-0.26,1.4,0.55,-60.6875,167.0625,-134.125,-0.0853,-0.0934,0.9869,-0.0996
0.62,1.25,0.46,-41.3125,155.375,-127.375,-0.0995,-0.1024,0.985,-0.0964
2.13,1.35,0.27,-27.5625,137.125,-112.1875,-0.1121,-0.1104,0.983,-0.0944
5.18,1.42,-0.35,-11.8125,109.5,-91.9375,-0.1221,-0.117,0.9811,-0.0936
6.15,1.36,-0.72,-11.8125,109.5,-91.9375,-0.1221,-0.117,0.9811,-0.0936
6.84,1.39,-0.96,3.9375,74.8125,-66.9375,-0.1316,-0.1252,0.9788,-0.0954
7.34,1.38,-1.25,30.1875,-9.8125,-8.8125,-0.1306,-0.1263,0.9785,-0.0977
7.14,1.42,-1.35,37.25,-51.1875,21.6875,-0.1257,-0.1254,0.9789,-0.1005
6.76,1.53,-1.42,42.125,-85.8125,48.375,-0.1178,-0.1225,0.98,-0.1035
6.53,1.23,-1.39,42.125,-85.8125,48.375,-0.1071,-0.1181,0.9814,-0.1069
6.08,1.07,-1.1,47.125,-115.125,71.125,-0.0944,-0.1121,0.983,-0.1106
5.7,0.99,-0.75,51.875,-151.9375,111.75,-0.0802,-0.1046,0.9847,-0.1144
5.13,1.04,-0.37,52.4375,-161.125,128.375,-0.0651,-0.0958,0.9862,-0.1182
3.4,1.11,0.63,52.5,-168.75,142.5,-0.0492,-0.0859,0.9876,-0.1219
2.42,1.1,1.04,52.5,-168.75,142.5,-0.0492,-0.0859,0.9876,-0.1219
1.23,1.1,1.38,51.4375,-174.3125,151.8125,-0.0158,-0.0641,0.9894,-0.129
0.22,1.09,1.76,48.0,-182.5,157.5,0.0014,-0.053,0.9898,-0.1322
-2.06,0.71,2.42,44.625,-184.4375,152.5625,0.0187,-0.0423,0.9897,-0.1351
-3.3,0.46,2.74,38.6875,-182.5,140.0,0.0357,-0.0327,0.9893,-0.1374
-4.44,0.03,3.07,38.6875,-182.5,140.0,0.0357,-0.0327,0.9893,-0.1374
-5.02,-0.1,3.17,29.4375,-173.375,121.875,0.0661,-0.0177,0.9879,-0.1397
-6.07,-0.23,3.79,1.375,-134.8125,74.9375,0.0782,-0.0131,0.9871,-0.1392
-6.53,-0.34,4.2,-18.75,-103.5625,47.75,0.0874,-0.0104,0.9866,-0.1371
